annee;code_reg;nom_reg;filiere_raw;prod_gwh;filiere;prod_mwh;categorie
2014;44;Grand Est;Production nucléaire (GWh);85852.0;Nucléaire;85852000.0;Non-Renouvelable
2017;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2022;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2015;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2019;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2020;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2024;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2020;76;Occitanie;Production nucléaire (GWh);16219.0;Nucléaire;16219000.0;Non-Renouvelable
2018;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);80199.0;Nucléaire;80199000.0;Non-Renouvelable
2021;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);84320.0;Nucléaire;84320000.0;Non-Renouvelable
2023;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);83607.0;Nucléaire;83607000.0;Non-Renouvelable
2020;44;Grand Est;Production nucléaire (GWh);63387.0;Nucléaire;63387000.0;Non-Renouvelable
2022;44;Grand Est;Production nucléaire (GWh);37278.0;Nucléaire;37278000.0;Non-Renouvelable
2014;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2017;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2021;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2022;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2017;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2016;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2018;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2020;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2016;24;Centre-Val de Loire;Production nucléaire (GWh);75741.0;Nucléaire;75741000.0;Non-Renouvelable
2022;24;Centre-Val de Loire;Production nucléaire (GWh);62923.0;Nucléaire;62923000.0;Non-Renouvelable
2014;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2015;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2019;28;Normandie;Production nucléaire (GWh);49259.0;Nucléaire;49259000.0;Non-Renouvelable
2022;28;Normandie;Production nucléaire (GWh);43431.0;Nucléaire;43431000.0;Non-Renouvelable
2014;32;Hauts-de-France;Production nucléaire (GWh);34682.0;Nucléaire;34682000.0;Non-Renouvelable
2016;32;Hauts-de-France;Production nucléaire (GWh);31227.0;Nucléaire;31227000.0;Non-Renouvelable
2017;32;Hauts-de-France;Production nucléaire (GWh);31437.0;Nucléaire;31437000.0;Non-Renouvelable
2019;32;Hauts-de-France;Production nucléaire (GWh);32087.0;Nucléaire;32087000.0;Non-Renouvelable
2024;32;Hauts-de-France;Production nucléaire (GWh);32765.0;Nucléaire;32765000.0;Non-Renouvelable
2017;44;Grand Est;Production nucléaire (GWh);76883.0;Nucléaire;76883000.0;Non-Renouvelable
2019;44;Grand Est;Production nucléaire (GWh);76390.0;Nucléaire;76390000.0;Non-Renouvelable
2015;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2020;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2015;75;Nouvelle-Aquitaine;Production nucléaire (GWh);40391.0;Nucléaire;40391000.0;Non-Renouvelable
2019;75;Nouvelle-Aquitaine;Production nucléaire (GWh);47320.0;Nucléaire;47320000.0;Non-Renouvelable
2024;75;Nouvelle-Aquitaine;Production nucléaire (GWh);38621.0;Nucléaire;38621000.0;Non-Renouvelable
2014;76;Occitanie;Production nucléaire (GWh);14927.0;Nucléaire;14927000.0;Non-Renouvelable
2015;76;Occitanie;Production nucléaire (GWh);18749.0;Nucléaire;18749000.0;Non-Renouvelable
2016;76;Occitanie;Production nucléaire (GWh);19804.0;Nucléaire;19804000.0;Non-Renouvelable
2018;76;Occitanie;Production nucléaire (GWh);17155.0;Nucléaire;17155000.0;Non-Renouvelable
2022;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);73122.0;Nucléaire;73122000.0;Non-Renouvelable
2024;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);80202.0;Nucléaire;80202000.0;Non-Renouvelable
2014;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2019;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2014;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2015;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2024;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2014;11;Île-de-France;Production thermique (GWh);2063.0;Thermique;2063000.0;Non-Renouvelable
2017;11;Île-de-France;Production thermique (GWh);2421.0;Thermique;2421000.0;Non-Renouvelable
2021;11;Île-de-France;Production thermique (GWh);1938.0;Thermique;1938000.0;Non-Renouvelable
2015;24;Centre-Val de Loire;Production thermique (GWh);292.0;Thermique;292000.0;Non-Renouvelable
2017;24;Centre-Val de Loire;Production thermique (GWh);399.0;Thermique;399000.0;Non-Renouvelable
2018;24;Centre-Val de Loire;Production thermique (GWh);385.0;Thermique;385000.0;Non-Renouvelable
2024;24;Centre-Val de Loire;Production thermique (GWh);204.0;Thermique;204000.0;Non-Renouvelable
2021;27;Bourgogne-Franche-Comté;Production thermique (GWh);739.0;Thermique;739000.0;Non-Renouvelable
2014;28;Normandie;Production thermique (GWh);2938.0;Thermique;2938000.0;Non-Renouvelable
2015;28;Normandie;Production thermique (GWh);3405.0;Thermique;3405000.0;Non-Renouvelable
2017;28;Normandie;Production thermique (GWh);5000.0;Thermique;5000000.0;Non-Renouvelable
2018;28;Normandie;Production thermique (GWh);3397.0;Thermique;3397000.0;Non-Renouvelable
2023;32;Hauts-de-France;Production thermique (GWh);6704.0;Thermique;6704000.0;Non-Renouvelable
2021;44;Grand Est;Production thermique (GWh);7667.0;Thermique;7667000.0;Non-Renouvelable
2021;52;Pays de la Loire;Production thermique (GWh);4700.0;Thermique;4700000.0;Non-Renouvelable
2016;53;Bretagne;Production thermique (GWh);577.0;Thermique;577000.0;Non-Renouvelable
2022;53;Bretagne;Production thermique (GWh);3783.0;Thermique;3783000.0;Non-Renouvelable
2023;53;Bretagne;Production thermique (GWh);2636.0;Thermique;2636000.0;Non-Renouvelable
2014;75;Nouvelle-Aquitaine;Production thermique (GWh);430.0;Thermique;430000.0;Non-Renouvelable
2017;75;Nouvelle-Aquitaine;Production thermique (GWh);1092.0;Thermique;1092000.0;Non-Renouvelable
2018;75;Nouvelle-Aquitaine;Production thermique (GWh);870.0;Thermique;870000.0;Non-Renouvelable
2020;75;Nouvelle-Aquitaine;Production thermique (GWh);852.0;Thermique;852000.0;Non-Renouvelable
2021;75;Nouvelle-Aquitaine;Production thermique (GWh);906.0;Thermique;906000.0;Non-Renouvelable
